name,id,idx,seed
Andalucía,4109101,2309,6
Aragón,5029702,2825,4
Principado de Asturias,3304411,1929,1
Illes Balears,0704002,314,1
Canarias,3803802,2141,1
Cantabria,3907502,2193,1
Castilla y León,4718601,2678,20
Castilla-La Mancha,4516801_AD,2493,15
Cataluña,0801902,360,20
Comunitat Valenciana,4625001,2628,8
Extremadura,1003704,630,4
Galicia,1507805,947,2
Comunidad de Madrid,2807901,1573,50
Región de Murcia,3003002,1767,1
Comunidad Foral de Navarra,3120101,1821,4
País Vasco,0105901,10,3
La Rioja,2608903,1455,4
Ceuta,5100101,2838,0.1
Melilla,5200102,2845,0.1
