id,date,value
01,2021-10-06,49
02,2021-10-06,39
03,2021-10-06,1
04,2021-10-06,11
05,2021-10-06,24
06,2021-10-06,22
07,2021-10-06,7
08,2021-10-06,1
09,2021-10-06,22
10,2021-10-06,7
11,2021-10-06,6
12,2021-10-06,1
13,2021-10-06,169
14,2021-10-06,4
15,2021-10-06,6
16,2021-10-06,0
17,2021-10-06,1
18,2021-10-06,0
19,2021-10-06,1
01,2021-10-05,157
02,2021-10-05,37
03,2021-10-05,0
04,2021-10-05,26
05,2021-10-05,30
06,2021-10-05,15
07,2021-10-05,43
08,2021-10-05,21
09,2021-10-05,312
10,2021-10-05,59
11,2021-10-05,24
12,2021-10-05,20
13,2021-10-05,116
14,2021-10-05,20
15,2021-10-05,10
16,2021-10-05,4
17,2021-10-05,3
18,2021-10-05,0
19,2021-10-05,0
01,2021-10-04,135
02,2021-10-04,43
03,2021-10-04,1
04,2021-10-04,48
05,2021-10-04,40
06,2021-10-04,17
07,2021-10-04,26
08,2021-10-04,43
09,2021-10-04,508
10,2021-10-04,57
11,2021-10-04,24
12,2021-10-04,14
13,2021-10-04,142
14,2021-10-04,13
15,2021-10-04,8
16,2021-10-04,10
17,2021-10-04,3
18,2021-10-04,1
19,2021-10-04,3
01,2021-10-03,69
02,2021-10-03,30
03,2021-10-03,12
04,2021-10-03,30
05,2021-10-03,38
06,2021-10-03,15
07,2021-10-03,52
08,2021-10-03,29
09,2021-10-03,147
10,2021-10-03,67
11,2021-10-03,25
12,2021-10-03,29
13,2021-10-03,113
14,2021-10-03,40
15,2021-10-03,14
16,2021-10-03,85
17,2021-10-03,8
18,2021-10-03,1
19,2021-10-03,1
01,2021-10-02,108
02,2021-10-02,44
03,2021-10-02,4
04,2021-10-02,53
05,2021-10-02,54
06,2021-10-02,28
07,2021-10-02,27
08,2021-10-02,44
09,2021-10-02,170
10,2021-10-02,71
11,2021-10-02,16
12,2021-10-02,28
13,2021-10-02,132
14,2021-10-02,37
15,2021-10-02,24
16,2021-10-02,94
17,2021-10-02,2
18,2021-10-02,4
19,2021-10-02,3
01,2021-10-01,154
02,2021-10-01,63
03,2021-10-01,5
04,2021-10-01,62
05,2021-10-01,51
06,2021-10-01,34
07,2021-10-01,42
08,2021-10-01,71
09,2021-10-01,438
10,2021-10-01,109
11,2021-10-01,47
12,2021-10-01,39
13,2021-10-01,223
14,2021-10-01,51
15,2021-10-01,12
16,2021-10-01,80
17,2021-10-01,8
18,2021-10-01,4
19,2021-10-01,3
01,2021-09-30,182
02,2021-09-30,63
03,2021-09-30,7
04,2021-09-30,23
05,2021-09-30,54
06,2021-09-30,40
07,2021-09-30,48
08,2021-09-30,51
09,2021-09-30,276
10,2021-09-30,122
11,2021-09-30,45
12,2021-09-30,27
13,2021-09-30,175
14,2021-09-30,41
15,2021-09-30,22
16,2021-09-30,62
17,2021-09-30,7
18,2021-09-30,6
19,2021-09-30,6
01,2021-09-29,218
02,2021-09-29,82
03,2021-09-29,3
04,2021-09-29,42
05,2021-09-29,76
06,2021-09-29,32
07,2021-09-29,63
08,2021-09-29,53
09,2021-09-29,581
10,2021-09-29,149
11,2021-09-29,30
12,2021-09-29,31
13,2021-09-29,214
14,2021-09-29,57
15,2021-09-29,19
16,2021-09-29,68
17,2021-09-29,13
18,2021-09-29,3
19,2021-09-29,3
01,2021-09-28,247
02,2021-09-28,79
03,2021-09-28,12
04,2021-09-28,38
05,2021-09-28,65
06,2021-09-28,31
07,2021-09-28,87
08,2021-09-28,96
09,2021-09-28,386
10,2021-09-28,141
11,2021-09-28,59
12,2021-09-28,29
13,2021-09-28,272
14,2021-09-28,35
15,2021-09-28,22
16,2021-09-28,66
17,2021-09-28,7
18,2021-09-28,2
19,2021-09-28,16
01,2021-09-27,245
02,2021-09-27,86
03,2021-09-27,11
04,2021-09-27,55
05,2021-09-27,102
06,2021-09-27,48
07,2021-09-27,63
08,2021-09-27,74
09,2021-09-27,766
10,2021-09-27,172
11,2021-09-27,45
12,2021-09-27,44
13,2021-09-27,306
14,2021-09-27,71
15,2021-09-27,18
16,2021-09-27,99
17,2021-09-27,9
18,2021-09-27,4
19,2021-09-27,7
01,2021-09-26,126
02,2021-09-26,66
03,2021-09-26,17
04,2021-09-26,56
05,2021-09-26,60
06,2021-09-26,36
07,2021-09-26,39
08,2021-09-26,35
09,2021-09-26,300
10,2021-09-26,116
11,2021-09-26,27
12,2021-09-26,29
13,2021-09-26,212
14,2021-09-26,48
15,2021-09-26,21
16,2021-09-26,89
17,2021-09-26,6
18,2021-09-26,6
19,2021-09-26,4
01,2021-09-25,193
02,2021-09-25,52
03,2021-09-25,11
04,2021-09-25,60
05,2021-09-25,63
06,2021-09-25,32
07,2021-09-25,58
08,2021-09-25,70
09,2021-09-25,274
10,2021-09-25,139
11,2021-09-25,18
12,2021-09-25,38
13,2021-09-25,243
14,2021-09-25,53
15,2021-09-25,22
16,2021-09-25,86
17,2021-09-25,10
18,2021-09-25,5
19,2021-09-25,9
01,2021-09-24,321
02,2021-09-24,83
03,2021-09-24,11
04,2021-09-24,51
05,2021-09-24,84
06,2021-09-24,33
07,2021-09-24,68
08,2021-09-24,97
09,2021-09-24,557
10,2021-09-24,177
11,2021-09-24,51
12,2021-09-24,38
13,2021-09-24,334
14,2021-09-24,50
15,2021-09-24,26
16,2021-09-24,97
17,2021-09-24,7
18,2021-09-24,3
19,2021-09-24,6
01,2021-09-23,284
02,2021-09-23,82
03,2021-09-23,14
04,2021-09-23,46
05,2021-09-23,79
06,2021-09-23,52
07,2021-09-23,50
08,2021-09-23,84
09,2021-09-23,575
10,2021-09-23,154
11,2021-09-23,37
12,2021-09-23,43
13,2021-09-23,308
14,2021-09-23,95
15,2021-09-23,18
16,2021-09-23,73
17,2021-09-23,10
18,2021-09-23,7
19,2021-09-23,2
01,2021-09-22,383
02,2021-09-22,97
03,2021-09-22,21
04,2021-09-22,77
05,2021-09-22,76
06,2021-09-22,32
07,2021-09-22,50
08,2021-09-22,115
09,2021-09-22,579
10,2021-09-22,197
11,2021-09-22,54
12,2021-09-22,43
13,2021-09-22,323
14,2021-09-22,97
15,2021-09-22,19
16,2021-09-22,98
