"codine","CA","CP","src_indx"
1001,16,1,5088
1002,16,1,6206
1003,16,1,4303
1004,16,1,4546
1006,16,1,1340
1008,16,1,3649
1009,16,1,4441
1010,16,1,5116
1011,16,1,1890
1013,16,1,3571
1014,16,1,2598
1016,16,1,2901
1017,16,1,3920
1018,16,1,4473
1019,16,1,1092
1020,16,1,2087
1021,16,1,3021
1022,16,1,3797
1023,16,1,2134
1027,16,1,2793
1028,16,1,4289
1030,16,1,944
1031,16,1,4336
1032,16,1,3184
1033,16,1,3503
1034,16,1,1292
1036,16,1,6524
1037,16,1,3282
1039,16,1,1475
1041,16,1,1308
1042,16,1,3938
1043,16,1,5248
1044,16,1,1671
1046,16,1,3375
1047,16,1,4109
1049,16,1,779
1051,16,1,5634
1052,16,1,1989
1053,16,1,3245
1054,16,1,4159
1055,16,1,3836
1056,16,1,1704
1057,16,1,1976
1058,16,1,4472
1059,16,1,6937
1060,16,1,1731
1061,16,1,979
1062,16,1,2430
1063,16,1,4895
1901,16,1,5156
1902,16,1,3580
2001,8,2,3502
2002,8,2,2929
2003,8,2,6918
2004,8,2,3374
2005,8,2,3453
2006,8,2,3264
2007,8,2,4138
2008,8,2,4362
2009,8,2,6656
2010,8,2,4887
2011,8,2,3378
2012,8,2,4888
2013,8,2,946
2014,8,2,2530
2015,8,2,4656
2016,8,2,3212
2017,8,2,3735
2018,8,2,4016
2019,8,2,5147
2020,8,2,3043
2021,8,2,4238
2022,8,2,2508
2023,8,2,3229
2024,8,2,5606
2025,8,2,6228
2026,8,2,4033
2027,8,2,2311
2028,8,2,685
2029,8,2,5467
2030,8,2,5432
2031,8,2,3274
2032,8,2,2167
2033,8,2,5003
2034,8,2,4631
2035,8,2,4977
2036,8,2,265
2037,8,2,6719
2038,8,2,2067
2039,8,2,4086
2040,8,2,3300
2041,8,2,2395
2042,8,2,3827
2043,8,2,4361
2044,8,2,4209
2045,8,2,5618
2046,8,2,4234
2047,8,2,219
2048,8,2,4434
2049,8,2,3747
2050,8,2,359
2051,8,2,4797
2052,8,2,2931
2053,8,2,5387
2054,8,2,2826
2055,8,2,4278
2056,8,2,4796
2057,8,2,4992
2058,8,2,2450
2059,8,2,2253
2060,8,2,4157
2061,8,2,3437
2062,8,2,2781
2063,8,2,4505
2064,8,2,2488
2065,8,2,2903
2066,8,2,1862
2067,8,2,4266
2068,8,2,2532
2069,8,2,6460
2070,8,2,2925
2071,8,2,4087
2072,8,2,4609
2073,8,2,5910
2074,8,2,6067
2075,8,2,4633
2076,8,2,2315
2078,8,2,4021
2079,8,2,5472
2080,8,2,3175
2081,8,2,6670
2082,8,2,413
2083,8,2,1626
2084,8,2,2317
2085,8,2,2100
2086,8,2,5215
2901,8,2,5091
3001,10,3,3152
3002,10,3,5596
3003,10,3,2911
3004,10,3,3802
3005,10,3,6295
3006,10,3,4137
3007,10,3,1302
3008,10,3,1066
3009,10,3,6832
3010,10,3,2364
3011,10,3,6559
3012,10,3,5256
3013,10,3,4302
3014,10,3,6945
3015,10,3,6549
3016,10,3,266
3017,10,3,2723
3018,10,3,6606
3019,10,3,6563
3020,10,3,587
3021,10,3,5970
3022,10,3,841
3023,10,3,4496
3024,10,3,5701
3025,10,3,4568
3026,10,3,4569
3027,10,3,1198
3028,10,3,4040
3029,10,3,2730
3030,10,3,3975
3031,10,3,6850
3032,10,3,119
3033,10,3,1067
3034,10,3,5273
3035,10,3,3385
3036,10,3,107
3037,10,3,2609
3038,10,3,2314
3039,10,3,320
3040,10,3,2341
3041,10,3,6292
3042,10,3,5558
3043,10,3,5380
3044,10,3,5917
3045,10,3,2326
3046,10,3,5186
3047,10,3,6627
3048,10,3,6017
3049,10,3,6500
3050,10,3,6669
3051,10,3,2423
3052,10,3,4030
3053,10,3,6218
3054,10,3,2474
3055,10,3,6102
3056,10,3,6285
3057,10,3,1709
3058,10,3,5937
3059,10,3,6688
3060,10,3,121
3061,10,3,4583
3062,10,3,2959
3063,10,3,6796
3064,10,3,5982
3065,10,3,6936
3066,10,3,6820
3067,10,3,8
3069,10,3,5842
3070,10,3,5448
3071,10,3,5846
3072,10,3,2435
3073,10,3,1532
3074,10,3,4926
3075,10,3,1338
3076,10,3,6438
3077,10,3,5027
3078,10,3,3879
3079,10,3,6635
3080,10,3,4653
3081,10,3,5097
3082,10,3,6695
3083,10,3,5989
3084,10,3,3241
3085,10,3,3617
3086,10,3,1195
3088,10,3,6031
3089,10,3,6340
3090,10,3,6625
3091,10,3,2838
3092,10,3,6137
3093,10,3,6672
3094,10,3,6483
3095,10,3,5900
3096,10,3,6022
3097,10,3,4817
3098,10,3,3528
3099,10,3,6865
3100,10,3,3773
3101,10,3,5999
3102,10,3,6224
3103,10,3,1967
3104,10,3,6749
3105,10,3,6029
3106,10,3,3429
3107,10,3,5490
3109,10,3,5501
3110,10,3,3215
3111,10,3,6007
3112,10,3,4001
3113,10,3,6503
3114,10,3,4919
3115,10,3,2444
3116,10,3,4357
3117,10,3,3116
3118,10,3,6167
3119,10,3,6608
3120,10,3,5883
3121,10,3,6728
3122,10,3,6821
3123,10,3,6196
3124,10,3,2984
3125,10,3,2971
3127,10,3,3249
3128,10,3,6313
3129,10,3,4447
3131,10,3,2093
3132,10,3,3292
3133,10,3,6887
3134,10,3,935
3135,10,3,1677
3136,10,3,3105
3137,10,3,3621
3138,10,3,5622
3139,10,3,6731
3140,10,3,6750
3901,10,3,5153
3902,10,3,6576
3903,10,3,5620
3904,10,3,4594
4001,1,4,4258
4002,1,4,4150
4003,1,4,6646
4004,1,4,3303
4005,1,4,3170
4006,1,4,6252
4007,1,4,3584
4008,1,4,3020
4009,1,4,691
4010,1,4,3176
4011,1,4,5409
4012,1,4,1609
4013,1,4,6924
4014,1,4,1040
4015,1,4,625
4016,1,4,5241
4017,1,4,5557
4018,1,4,2056
4019,1,4,1733
4020,1,4,2198
4021,1,4,1320
4022,1,4,3632
4023,1,4,193
4024,1,4,5495
4027,1,4,1749
4028,1,4,1669
4029,1,4,6430
4030,1,4,4243
4031,1,4,5411
4032,1,4,6044
4033,1,4,706
4034,1,4,729
4035,1,4,6354
4036,1,4,1824
4037,1,4,4501
4038,1,4,5452
4041,1,4,2400
4043,1,4,3119
4044,1,4,4790
4045,1,4,4864
4046,1,4,3709
4047,1,4,5219
4048,1,4,5279
4049,1,4,6101
4050,1,4,3826
4051,1,4,2749
4052,1,4,6459
4053,1,4,6514
4054,1,4,2385
4055,1,4,2564
4056,1,4,800
4057,1,4,4466
4058,1,4,2540
4059,1,4,4427
4060,1,4,3081
4061,1,4,3538
4062,1,4,5813
4063,1,4,4192
4064,1,4,5953
4065,1,4,2713
4066,1,4,6686
4067,1,4,3227
4068,1,4,1056
4069,1,4,5892
4070,1,4,4982
4071,1,4,2729
4072,1,4,3515
4073,1,4,2426
4074,1,4,5388
4075,1,4,6115
4076,1,4,4464
4077,1,4,2125
4078,1,4,4152
4079,1,4,6882
4080,1,4,1373
4081,1,4,2554
4082,1,4,1852
4083,1,4,4841
4084,1,4,2425
4085,1,4,2743
4086,1,4,5021
4087,1,4,1461
4088,1,4,5341
4089,1,4,3898
4090,1,4,2627
4091,1,4,2473
4092,1,4,5403
4093,1,4,5379
4094,1,4,1342
4095,1,4,3664
4096,1,4,1994
4097,1,4,1798
4098,1,4,4760
4099,1,4,5932
4100,1,4,6415
4101,1,4,5729
4102,1,4,6634
4103,1,4,5168
4901,1,4,3118
4902,1,4,6870
4903,1,4,6095
5001,7,5,1585
5002,7,5,5018
5005,7,5,1269
5007,7,5,467
5008,7,5,1667
5010,7,5,1156
5012,7,5,855
5013,7,5,3765
5014,7,5,5925
5015,7,5,51
5016,7,5,6062
5019,7,5,6829
5021,7,5,5019
5022,7,5,4697
5023,7,5,1153
5024,7,5,1595
5025,7,5,229
5026,7,5,1465
5027,7,5,2150
5029,7,5,500
5030,7,5,7101
5033,7,5,1209
5035,7,5,54
5036,7,5,544
5037,7,5,1947
5038,7,5,472
5041,7,5,4093
5042,7,5,895
5044,7,5,1902
5045,7,5,153
5047,7,5,5687
5048,7,5,556
5049,7,5,2648
5051,7,5,1228
5052,7,5,67
5054,7,5,4358
5055,7,5,3415
5056,7,5,18
5057,7,5,5311
5059,7,5,210
5060,7,5,499
5061,7,5,2027
5062,7,5,1403
5064,7,5,313
5065,7,5,2783
5066,7,5,2799
5067,7,5,7065
5069,7,5,7033
5072,7,5,101
5073,7,5,2028
5074,7,5,3463
5075,7,5,139
5076,7,5,2900
5077,7,5,1088
5078,7,5,466
5082,7,5,3106
5083,7,5,720
5085,7,5,7111
5087,7,5,767
5089,7,5,2881
5092,7,5,1030
5093,7,5,2908
5094,7,5,813
5095,7,5,2021
5097,7,5,2899
5099,7,5,2990
5100,7,5,2041
5101,7,5,1900
5102,7,5,4879
5105,7,5,2512
5109,7,5,2726
5110,7,5,3591
5112,7,5,494
5114,7,5,4395
5115,7,5,3252
5116,7,5,522
5117,7,5,1377
5120,7,5,7100
5121,7,5,1805
5122,7,5,674
5123,7,5,40
5124,7,5,465
5126,7,5,6980
5127,7,5,3456
5128,7,5,2337
5129,7,5,643
5130,7,5,59
5131,7,5,338
5132,7,5,3947
5135,7,5,2674
5136,7,5,262
5138,7,5,2247
5140,7,5,518
5141,7,5,63
5142,7,5,299
5147,7,5,989
5149,7,5,410
5151,7,5,151
5152,7,5,3488
5153,7,5,125
5156,7,5,1965
5157,7,5,1652
5158,7,5,2387
5159,7,5,1783
5160,7,5,2073
5161,7,5,3691
5162,7,5,115
5163,7,5,4756
5164,7,5,7075
5165,7,5,2462
5166,7,5,1573
5167,7,5,1912
5168,7,5,5781
5169,7,5,1482
5170,7,5,7124
5172,7,5,808
5175,7,5,1192
5176,7,5,1627
5177,7,5,1001
5178,7,5,2479
5179,7,5,1584
5180,7,5,76
5182,7,5,3648
5183,7,5,958
5184,7,5,1860
5185,7,5,339
5186,7,5,4651
5187,7,5,4824
5189,7,5,2932
5191,7,5,591
5192,7,5,16
5193,7,5,1388
5194,7,5,848
5195,7,5,1520
5197,7,5,469
5201,7,5,3018
5204,7,5,3433
5205,7,5,7099
5207,7,5,3454
5209,7,5,25
5210,7,5,50
5211,7,5,2760
5212,7,5,1650
5213,7,5,185
5215,7,5,1124
5216,7,5,1359
5218,7,5,817
5220,7,5,2581
5221,7,5,2415
5222,7,5,761
5225,7,5,2493
5227,7,5,2912
5228,7,5,1152
5230,7,5,145
5231,7,5,1151
5232,7,5,190
5233,7,5,1657
5235,7,5,585
5236,7,5,529
5237,7,5,1232
5238,7,5,3654
5239,7,5,1487
5240,7,5,5604
5241,7,5,5535
5242,7,5,3422
5243,7,5,84
5245,7,5,2357
5247,7,5,1651
5249,7,5,195
5253,7,5,7098
5254,7,5,1598
5256,7,5,428
5257,7,5,640
5258,7,5,571
5259,7,5,658
5260,7,5,167
5262,7,5,2378
5263,7,5,1035
5266,7,5,249
5267,7,5,279
5901,7,5,1905
5902,7,5,2043
5903,7,5,863
5904,7,5,673
5905,7,5,1564
6001,11,6,3416
6002,11,6,5771
6003,11,6,3717
6004,11,6,4616
6005,11,6,4695
6006,11,6,5754
6007,11,6,4571
6008,11,6,3308
6009,11,6,1473
6010,11,6,4083
6011,11,6,6740
6012,11,6,5512
6013,11,6,1916
6014,11,6,6069
6015,11,6,6912
6016,11,6,5366
