"OD","origen_province","destino_province","viajes"
"1-1",1,1,718188.769766667
"1-10",1,10,35.3031666666667
"1-11",1,11,7.5288
"1-12",1,12,29.0320333333333
"1-13",1,13,23.6154666666667
"1-14",1,14,14.5843333333333
"1-15",1,15,38.2723
"1-16",1,16,8.79816666666667
"1-17",1,17,13.4454333333333
"1-18",1,18,19.7176666666667
"1-19",1,19,37.9158
"1-2",1,2,13.3856
"1-20",1,20,9572.1425
"1-21",1,21,15.9931666666667
"1-22",1,22,81.0661
"1-23",1,23,22.2368666666667
"1-24",1,24,151.4863
"1-25",1,25,45.6759666666667
"1-26",1,26,12496.0109666667
"1-27",1,27,12.5388333333333
"1-28",1,28,647.4796
"1-29",1,29,16.0134666666667
"1-3",1,3,39.3647333333333
"1-30",1,30,21.3103
"1-31",1,31,4735.2451
"1-32",1,32,27.8271
"1-33",1,33,102.329433333333
"1-34",1,34,136.459966666667
"1-35",1,35,3.80723333333333
"1-36",1,36,23.2476333333333
"1-37",1,37,96.0148333333333
"1-38",1,38,2.94856666666667
"1-39",1,39,959.5467
"1-4",1,4,1.23713333333333
"1-40",1,40,39.4835666666667
"1-41",1,41,30.4627
"1-42",1,42,37.1745666666667
"1-43",1,43,29.9167666666667
"1-44",1,44,46.3203666666667
"1-45",1,45,70.1357333333333
"1-46",1,46,148.725
"1-47",1,47,265.18
"1-48",1,48,25558.6814
"1-49",1,49,53.2510333333333
"1-5",1,5,8.42493333333333
"1-50",1,50,575.265333333333
"1-6",1,6,26.2058333333333
"1-7",1,7,0.476166666666667
"1-8",1,8,193.9536
"1-9",1,9,12340.6587333333
"10-1",10,1,61.7419666666667
"10-10",10,10,680416.706266667
"10-11",10,11,166.7894
"10-12",10,12,8.43926666666667
"10-13",10,13,153.9987
"10-14",10,14,134.8715
"10-15",10,15,33.0039333333333
"10-16",10,16,27.9108
"10-17",10,17,7.22073333333333
"10-18",10,18,32.0445333333333
"10-19",10,19,117.401633333333
"10-2",10,2,52.4165666666667
"10-20",10,20,47.8295333333333
"10-21",10,21,154.629633333333
"10-22",10,22,16.6127666666667
"10-23",10,23,53.1046333333333
"10-24",10,24,85.4927666666667
"10-25",10,25,14.3529
"10-26",10,26,18.7850666666667
"10-27",10,27,13.3151666666667
"10-28",10,28,2710.25606666667
"10-29",10,29,65.2139666666667
"10-3",10,3,44.4281333333333
"10-30",10,30,30.7799
"10-31",10,31,27.6173666666667
"10-32",10,32,22.9664333333333
"10-33",10,33,48.4026666666667
"10-34",10,34,64.4584666666667
