id,Y,M,O,Total
01001_AM,1065,4747,3102,8914
01002,2470,5916,2117,10503
01010_AM,1554,3583,1263,6400
01031_AM,1143,3932,2584,7659
01036,3470,9970,4161,17601
01043_AM,958,4100,2778,7836
01047_AM,568,2152,1401,4121
01051,359,2710,2147,5216
01058_AM,1022,2438,938,4398
0105901,700,20306,15404,36410
0105902,1284,37237,28249,66770
0105903,973,28242,21425,50640
0105904,579,16809,12752,30140
0105905,975,28287,21459,50721
0105906,160,3115,2408,5683
01063_AM,1180,2641,711,4532
01901_AM,556,3311,2482,6349
0200301,3103,10026,11936,25065
0200302,4730,15283,18194,38207
0200303,2441,7887,9389,19717
0200304,2374,7669,9130,19173
0200305,1963,6342,7550,15855
0200306,2068,6682,7954,16704
0200307,2983,9639,11475,24097
0200308,982,3323,3686,7991
02008_AM,598,2717,1790,5105
02009,4190,15165,6237,25592
02010_AM,607,3080,1580,5267
02012_AM,485,2972,3203,6660
02021_AM,729,3147,2016,5892
02024_AM,612,3235,1664,5511
02025,1340,4950,4632,10922
02029_AM,554,3924,3880,8358
02030_AM,1196,3955,2196,7347
02033_AM,1360,4152,3002,8514
02037,2616,16636,11427,30679
02045_AM,1373,4774,2888,9035
02053_AM,1619,5197,2728,9544
02063_AM,1056,3429,1493,5978
02067_AM,421,2787,1815,5023
02069_AM,2318,11391,7670,21379
02073_AM,826,3498,3338,7662
02074,317,2738,5504,8559
02079_AM,1297,4808,2661,8766
02081,2532,15916,8552,27000
02086_AM,598,2627,1966,5191
03002_AM,597,2635,2487,5719
03005_AM,1568,6721,6216,14505
0300901,493,2314,1479,4286
0300902,823,3863,2470,7156
0300903,816,3832,2450,7098
0300904,941,4416,2823,8180
0300905,826,3880,2480,7186
0300906,621,2918,1865,5404
0300907,902,4236,2708,7846
0300908,1707,5855,3132,10694
03011,1378,10892,6886,19156
0301401,2583,9780,8304,20667
0301402,4100,15521,13178,32799
0301403,6110,23132,19640,48882
0301404,9404,35730,30033,75167
0301405,3841,14541,12346,30728
0301406,6020,22921,19509,48450
0301407,3578,13547,11502,28627
0301408,4818,18464,15722,39004
03015,2636,11383,6860,20879
03018,1436,8632,12919,22987
03019,3133,9375,8213,20721
03021,1663,4252,1609,7524
03024,494,2371,2704,5569
03026_AM,575,2882,2214,5671
03028_AM,1082,3175,1793,6050
0303101,2300,7618,6325,16243
0303102,2471,8187,6797,17455
0303103,2914,9916,8154,20984
0303104,1442,4789,3981,10212
03035_AM,647,2713,1891,5251
03041,1650,6179,4023,11852
03043_AM,1618,4357,1636,7611
03044_AM,874,4750,3149,8773
03046_AM,789,3064,2395,6248
03047,2454,10938,8104,21496
03048,134,3116,3415,6665
03049,2298,10933,5625,18856
03050,4903,15987,7407,28297
